state_fp,county_fp,year,T2M_mean,T2M_max,T2M_min,T2M_std,RH2M_mean,RH2M_std,ALLSKY_SFC_SW_DWN_mean,ALLSKY_SFC_SW_DWN_std,latitude_first,longitude_first,county_first,extreme_heat_days,NDVI_mean,NDVI_max,NDVI_min,NDVI_std,EVI_mean,EVI_std,NDWI_mean,NDWI_std,state_name,county_name,crop,yield_value,yield_cv
01,001,2005,22.717142857142857,27.18,16.31,4.572310554798722,77.63285714285715,3.193690207715387,19.77857142857143,2.662795702336353,32.53492018600147,-86.64274923711426,Autauga,0.0,0.7457224086036737,0.7923722207194341,0.7016405453365991,0.031766279621974425,0.46605776805259447,0.06273024282646594,0.7425750863862103,0.031173388917842798,ALABAMA,AUTAUGA,corn,103.0,
01,001,2006,23.97,29.14,17.61,4.511799345420111,69.05999999999999,4.640768614500544,20.745714285714286,3.233913300955243,32.53492018600147,-86.64274923711426,Autauga,0.0,0.7406288683185879,0.7690526010749941,0.7073150742126643,0.021205850714292554,0.4522178878605524,0.05273265735540296,0.7390744034549858,0.021562581010600948,ALABAMA,AUTAUGA,corn,66.0,
01,001,2007,24.24857142857143,30.57,15.91,5.010493750025801,65.77,6.394502847498518,20.252857142857145,3.1941285420059633,32.53492018600147,-86.64274923711426,Autauga,1.0,0.7130053646120693,0.7478490239394069,0.682079915743704,0.020289025080728926,0.4327960373457046,0.031393312077454286,0.7097153443119276,0.018422142486809713,ALABAMA,AUTAUGA,corn,40.0,
01,001,2009,22.7,26.97,16.7,4.189542536681858,81.14142857142858,4.116403885964172,18.62142857142857,4.31319845965624,32.53492018600147,-86.64274923711426,Autauga,0.0,0.7438795389196958,0.7822876040054298,0.6581156878509633,0.04537336770509096,0.45224544132938005,0.050939586950666554,0.7389796058601356,0.047386732272372785,ALABAMA,AUTAUGA,soybean,30.0,
01,001,2010,24.377142857142854,28.89,17.77,4.6838079745925905,72.48285714285714,6.495058927845886,21.481428571428573,2.1448343259362224,32.53492018600147,-86.64274923711426,Autauga,0.0,0.7365881727926727,0.7883658060702599,0.6764571051801086,0.048274828977344725,0.4529772039275711,0.05476575850538773,0.7323136999912168,0.04857668210654099,ALABAMA,AUTAUGA,soybean,16.9,
01,001,2011,23.787142857142857,29.12,16.58,5.115130217585586,70.02,4.796967792262106,20.877142857142854,3.090230381302309,32.53492018600147,-86.64274923711426,Autauga,0.0,0.7419389775712516,0.7757255535267917,0.6962407658706906,0.02557914767004212,0.4648623852067012,0.05707172472194586,0.7401447731227702,0.025325594537040072,ALABAMA,AUTAUGA,corn,111.1,
01,001,2011,23.787142857142857,29.12,16.58,5.115130217585586,70.02,4.796967792262106,20.877142857142854,3.090230381302309,32.53492018600147,-86.64274923711426,Autauga,0.0,0.7419389775712516,0.7757255535267917,0.6962407658706906,0.02557914767004212,0.4648623852067012,0.05707172472194586,0.7401447731227702,0.025325594537040072,ALABAMA,AUTAUGA,soybean,26.0,
01,001,2013,22.565714285714286,26.03,16.75,3.8411971100290137,79.62857142857142,3.5537887227175298,19.045714285714286,2.3812591707110013,32.53492018600147,-86.64274923711426,Autauga,0.0,0.7538158780251649,0.7954190250414515,0.6672380545912668,0.04422905801250923,0.45677209196273344,0.06746715056107118,0.7517135933134318,0.042642873565832344,ALABAMA,AUTAUGA,corn,99.3,
01,001,2013,22.565714285714286,26.03,16.75,3.8411971100290137,79.62857142857142,3.5537887227175298,19.045714285714286,2.3812591707110013,32.53492018600147,-86.64274923711426,Autauga,0.0,0.7538158780251649,0.7954190250414515,0.6672380545912668,0.04422905801250923,0.45677209196273344,0.06746715056107118,0.7517135933134318,0.042642873565832344,ALABAMA,AUTAUGA,soybean,41.2,
01,001,2017,23.047142857142855,27.43,18.56,3.300018758965441,77.98285714285714,2.940372506365562,20.042857142857144,2.7183985131305675,32.53492018600147,-86.64274923711426,Autauga,0.0,0.7609291632943392,0.7951581687780829,0.7256522119782198,0.031061641980524586,0.45370596948410713,0.058541936724592195,0.7594815489905727,0.029995225603142356,ALABAMA,AUTAUGA,corn,170.8,
01,001,2018,23.821428571428573,27.66,15.66,4.36510186429988,76.91857142857143,1.9109197486326532,20.15142857142857,3.0418932074802183,32.53492018600147,-86.64274923711426,Autauga,0.0,0.7597276263003583,0.7882836426571288,0.7187307817250995,0.022952516114501286,0.4672941471071693,0.07335691933124462,0.7566995372052489,0.021048601156561625,ALABAMA,AUTAUGA,corn,165.6,
01,001,2019,24.65857142857143,28.24,17.85,4.000101784419275,72.76714285714286,6.435370267217771,20.56714285714286,3.868697947568899,32.53492018600147,-86.64274923711426,Autauga,0.0,0.7518753277508345,0.7846538230918345,0.7044350417524508,0.03468860410638596,0.47330153175211437,0.06948396076753778,0.7508267098304501,0.03385288760852115,ALABAMA,AUTAUGA,corn,165.3,
01,001,2020,23.24285714285714,27.91,17.14,4.095626587331558,75.4342857142857,2.0852726212085315,20.139999999999997,3.5216804700786417,32.53492018600147,-86.64274923711426,Autauga,0.0,0.7631804700502958,0.7970300442320504,0.7192996734677528,0.02318485071590136,0.4599650438756271,0.060332812365378546,0.760566712732814,0.023481062067433583,ALABAMA,AUTAUGA,corn,156.6,12.8
01,003,2005,24.237142857142857,27.76,18.42,3.7494831389838,79.22142857142856,3.6083349279662156,21.307142857142857,2.3983307687202933,30.660969664828123,-87.74984007841486,Baldwin,0.0,0.7093159738930325,0.7561505364378998,0.6475627354408713,0.039483211635549055,0.4214087003798607,0.04623987872734628,0.7062098253122047,0.04075161699331685,ALABAMA,BALDWIN,corn,124.0,
01,003,2006,25.678571428571427,29.19,21.45,3.270104119501542,70.52285714285713,3.6979621157502165,21.735714285714288,3.4431809766689927,30.660969664828123,-87.74984007841486,Baldwin,0.0,0.7064128253994583,0.7550116046572739,0.661714702914239,0.030519451146168938,0.41024577568670584,0.04088129126658422,0.7028519353735007,0.03131233436213681,ALABAMA,BALDWIN,corn,89.0,
01,003,2006,25.678571428571427,29.19,21.45,3.270104119501542,70.52285714285713,3.6979621157502165,21.735714285714288,3.4431809766689927,30.660969664828123,-87.74984007841486,Baldwin,0.0,0.7064128253994583,0.7550116046572739,0.661714702914239,0.030519451146168938,0.41024577568670584,0.04088129126658422,0.7028519353735007,0.03131233436213681,ALABAMA,BALDWIN,soybean,38.0,
01,003,2007,24.98428571428571,29.36,18.36,3.874669263919426,74.35142857142857,3.606158753075207,21.05857142857143,3.098480426334974,30.660969664828123,-87.74984007841486,Baldwin,0.0,0.7142739671366973,0.7460698055792717,0.6786287994151841,0.026521848204384232,0.4209334601365285,0.03615695229437391,0.7115927921532442,0.02871670267822895,ALABAMA,BALDWIN,corn,105.0,
01,003,2007,24.98428571428571,29.36,18.36,3.874669263919426,74.35142857142857,3.606158753075207,21.05857142857143,3.098480426334974,30.660969664828123,-87.74984007841486,Baldwin,0.0,0.7142739671366973,0.7460698055792717,0.6786287994151841,0.026521848204384232,0.4209334601365285,0.03615695229437391,0.7115927921532442,0.02871670267822895,ALABAMA,BALDWIN,soybean,38.0,
